iter	Passed	Remaining
154	751	4094
155	755	4085
156	759	4077
157	763	4069
158	768	4064
159	772	4056
160	776	4048
161	781	4042
162	785	4035
163	790	4027
164	794	4019
165	799	4014
166	803	4007
167	807	4001
168	813	4001
169	819	3999
170	822	3988
171	826	3980
172	831	3974
173	836	3973
174	841	3965
175	845	3960
176	851	3957
177	864	3990
178	871	3999
179	887	4043
180	904	4092
181	919	4133
182	930	4155
183	946	4195
184	958	4224
185	975	4268
186	985	4282
187	996	4304
188	1011	4340
189	1018	4344
190	1029	4361
191	1050	4420
192	1069	4470
193	1091	4533
194	1113	4598
195	1127	4626
196	1140	4648
197	1150	4658
198	1158	4664
199	1173	4693
200	1190	4731
201	1207	4768
202	1222	4798
203	1236	4825
204	1250	4848
205	1264	4875
206	1283	4915
207	1295	4934
208	1306	4943
209	1313	4940
210	1326	4960
211	1334	4959
212	1344	4969
213	1354	4974
214	1362	4975
215	1376	4997
216	1384	4996
217	1393	4999
218	1402	5002
219	1410	5001
220	1420	5007
221	1427	5002
222	1433	4994
223	1443	5000
224	1452	5001
225	1459	4998
226	1469	5004
227	1476	4999
228	1487	5007
229	1492	4998
230	1504	5007
231	1509	4997
232	1523	5013
233	1530	5008
234	1538	5009
235	1548	5011
236	1555	5008
237	1563	5006
238	1573	5009
239	1583	5013
240	1590	5007
241	1600	5013
242	1607	5006
243	1619	5017
244	1623	5004
245	1636	5015
246	1639	4998
247	1655	5019
248	1666	5026
249	1672	5018
250	1685	5029
251	1689	5015
252	1703	5028
253	1710	5024
254	1716	5015
255	1731	5030
256	1735	5018
257	1744	5017
258	1753	5016
259	1761	5012
260	1765	4999
261	1770	4987
262	1783	4997
263	1787	4983
264	1794	4978
265	1799	4964
266	1803	4952
267	1815	4959
268	1820	4946
269	1827	4940
270	1831	4927
271	1837	4918
272	1849	4924
273	1854	4914
274	1859	4902
275	1863	4888
276	1868	4875
277	1874	4867
278	1878	4854
279	1883	4842
280	1890	4837
281	1898	4832
282	1905	4827
283	1912	4822
284	1916	4809
285	1934	4830
286	1939	4819
287	1944	4807
288	1948	4794
289	1953	4782
290	1958	4770
291	1962	4758
292	1968	4749
293	1978	4751
294	1984	4742
295	1989	4730
296	1993	4717
297	1997	4706
298	2003	4697
299	2007	4684
300	2012	4673
301	2017	4663
302	2021	4650
303	2024	4635
304	2028	4622
305	2033	4612
306	2038	4600
307	2042	4588
308	2045	4574
309	2055	4574
310	2060	4565
311	2067	4558
312	2071	4546
313	2076	4536
314	2081	4526
315	2092	4529
316	2106	4539
317	2120	4546
318	2132	4551
319	2139	4546
320	2144	4535
321	2149	4525
322	2153	4514
323	2157	4502
324	2163	4492
325	2167	4480
326	2172	4470
327	2176	4459
328	2181	4449
329	2185	4438
330	2190	4427
331	2198	4424
332	2206	4419
333	2212	4412
334	2217	4401
335	2222	4392
336	2229	4385
337	2233	4374
338	2238	4365
339	2243	4355
340	2248	4345
341	2253	4336
342	2259	4327
343	2263	4316
344	2268	4307
345	2274	4298
346	2278	4288
347	2283	4278
348	2286	4265
349	2292	4257
350	2297	4248
351	2309	4252
352	2319	4250
353	2324	4242
354	2329	4231
355	2334	4223
356	2340	4214
357	2344	4205
358	2357	4209
359	2365	4205
360	2377	4208
361	2381	4198
362	2387	4189
363	2392	4180
364	2397	4170
365	2401	4159
366	2407	4151
367	2420	4156
368	2429	4155
369	2438	4152
370	2449	4152
371	2456	4146
372	2463	4141
373	2474	4141
374	2482	4137
375	2493	4138
376	2503	4136
377	2513	4135
378	2525	4137
379	2534	4134
380	2547	4138
381	2555	4134
382	2562	4128
383	2570	4123
384	2580	4122
385	2593	4125
386	2605	4127
387	2616	4126
388	2620	4116
389	2629	4112
390	2637	4107
391	2646	4104
392	2658	4106
393	2670	4108
394	2676	4098
395	2681	4090
396	2693	4090
397	2705	4092
398	2712	4085
399	2721	4081
400	2728	4075
401	2734	4068
402	2739	4058
403	2744	4048
404	2751	4042
405	2759	4037
406	2769	4035
407	2775	4027
408	2781	4018
409	2786	4009
410	2790	3998
411	2795	3990
412	2800	3980
413	2805	3970
414	2809	3960
415	2814	3950
416	2818	3940
417	2822	3929
418	2827	3920
419	2831	3909
420	2835	3899
421	2839	3889
